Daily Closing Price,12-Day Exponential Moving Average,26-Day Exponential Moving Average,24-Day Trade Break Out Rule,29-Day Volatility,25-day Momentum,EMA Action,TBR Action,VOL Action,MOM Action
357.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
356.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
358.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
353.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
350.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
345.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
360.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
360.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
359.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
355.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352.03,355.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
350.37,354.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
348.16,353.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
341.54,351.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352.58,351.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
352.58,351.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
354.79,352.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
361.41,353.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
360.85,354.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
361.96,355.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
361.96,356.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
358.65,357.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
357.54,357.2,N/A,-0.01,N/A,N/A,N/A,2,N/A,N/A
363.61,358.19,N/A,0,N/A,6.07,N/A,2,N/A,1
369.13,359.87,355.42,0.02,N/A,12.69,1,2,N/A,1
370.23,361.46,356.52,0,N/A,12.13,1,2,N/A,1
371.34,362.98,357.62,0,N/A,19.31,1,2,N/A,1
374.65,364.78,358.88,0.01,0.019,21.52,1,2,1,1
380.17,367.15,360.46,0.01,0.021,29.8,1,2,1,1
386.24,370.09,362.37,0.02,0.024,40.28,1,2,1,1
388.99,373,364.34,0.01,0.028,36.41,1,2,1,1
391.75,375.88,366.37,0.01,0.032,30.9,1,2,1,1
391.2,378.24,368.21,0,0.035,30.35,1,2,1,1
385.68,379.38,369.5,-0.02,0.038,26.48,1,0,1,1
387.89,380.69,370.86,-0.01,0.038,32,1,2,1,1
387.34,381.71,372.08,-0.01,0.039,35.31,1,2,1,1
